timestamp,log_level,message
"2025-07-17 07:45:40,566",DEBUG,still manages to radiate an air of time-worn comfort and
"2025-07-17 07:45:41,374",DEBUG,suddenly bobs to the surface.
"2025-07-17 07:45:43,65",DEBUG,Several Imperial officers walk through the wide main
"2025-07-17 07:45:44,23",DEBUG,TARKIN
"2025-07-17 07:45:44,592",DEBUG,THREEPIO
"2025-07-17 07:45:46,479",DEBUG,Han fires at the doorway. The noise of the blast echoes
"2025-07-17 07:35:07,607",DEBUG,Luke is confused at the voice and taps his headphones.
"2025-07-17 07:35:08,139",DEBUG,"Hey, you're not permitted in there."
"2025-07-17 07:35:08,763",DEBUG,the youth then the other. Suddenly it makes a lightning-swift
"2025-07-17 07:35:09,79",DEBUG,There's too much interference!
"2025-07-17 07:35:09,907",DEBUG,"at the frail young senator, but she doesn't move."
"2025-07-17 07:35:10,283",DEBUG,The ship is now constantly battered with laserfire as a red
"2025-07-17 07:35:12,125",DEBUG,"Yes, sir."
"2025-07-17 07:35:12,461",DEBUG,"If money is all that you love, then"
"2025-07-17 07:35:13,822",DEBUG,the time this station is operational.
"2025-07-17 07:35:15,136",DEBUG,the mission he is about to perform.
"2025-07-17 07:41:16,914",DEBUG,narrow path.
"2025-07-17 07:41:17,134",DEBUG,OWEN
"2025-07-17 07:41:18,254",DEBUG,into Luke's X-wing. It's an emotional-filled moment as Artoo
"2025-07-17 07:41:19,597",DEBUG,swishing sound that frightened off the Sandpeople grows even
"2025-07-17 07:41:20,191",DEBUG,The Death Star superstructure races past Luke as he maneuvers
"2025-07-17 07:41:20,589",DEBUG,GREEDO
"2025-07-17 07:41:22,79",DEBUG,INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL
"2025-07-17 07:41:22,526",DEBUG,Artoo beeps something to Threepio.
"2025-07-17 07:41:24,663",DEBUG,"from his joints. His plight seems hopeless, when a glint of"
"2025-07-17 07:41:25,24",DEBUG,"and Windy, two tough boys about the same age as Luke, are"
"2025-07-17 07:49:00,542",DEBUG,EXT. SURFACE OF THE DEATH STAR
"2025-07-17 07:49:01,550",DEBUG,"Luke, amazed and stunned, is almost speechless."
"2025-07-17 07:49:02,98",DEBUG,is sitting on the deserted computer console. Artoo and
"2025-07-17 07:49:03,183",DEBUG,about? I've had just about enough of
"2025-07-17 07:49:03,945",DEBUG,INT. MASSASSI OUTPOST - WAR ROOM
"2025-07-17 07:49:04,654",DEBUG,"The three TIE fighters move ever closer, closing in on Luke"
"2025-07-17 07:49:05,722",DEBUG,Don't get technical with me.
"2025-07-17 07:49:06,387",DEBUG,listening intently to what Dodonna is saying. Han and
"2025-07-17 07:49:06,858",DEBUG,RED TEN
"2025-07-17 07:49:07,658",DEBUG,Two stormtroopers open an electronic cell door and allow
"2025-07-17 07:52:55,2",DEBUG,"closer, until a shabby old desert-rat-of-a-man appears and"
"2025-07-17 07:52:55,853",DEBUG,"like dusting crops, boy! Without"
"2025-07-17 07:52:56,774",DEBUG,EXT. TATOOINE - ROCK CANYON - SANDCRAWLER - SUNSET
"2025-07-17 07:52:57,158",DEBUG,INT. BIGGS' COCKPIT
"2025-07-17 07:52:57,376",DEBUG,parked outside the bar. A Jawa runs up and begins to fondle
"2025-07-17 07:52:57,941",DEBUG,warning light begins to flash.
"2025-07-17 07:52:59,168",DEBUG,HAN
"2025-07-17 07:52:59,634",DEBUG,Han is leaning back against the other wall. Garbage is
"2025-07-17 07:52:59,919",DEBUG,Will you forget it? I already tried
"2025-07-17 07:53:00,105",DEBUG,Artoo works to repair the damages. The canyon wall rushes by
"2025-07-17 07:47:18,121",DEBUG,What good's a reward if you ain't
"2025-07-17 07:47:18,764",DEBUG,"Stealthily, the TIE formation creeps closer."
"2025-07-17 07:47:19,375",DEBUG,Academy next term. You'll get your
"2025-07-17 07:47:19,760",DEBUG,TARKIN
"2025-07-17 07:47:20,322",DEBUG,stop before a bay window overlooking the pirateship. Troopers
"2025-07-17 07:47:21,840",DEBUG,"one another, slapping each other on the back."
"2025-07-17 07:47:22,811",DEBUG,behind Luke and Biggs. He has the confident smile of a born
"2025-07-17 07:47:23,751",DEBUG,to be well paid. I'm in it for the
"2025-07-17 07:47:24,691",DEBUG,http://www.imsdb.com/scripts/Star-Wars-A-New-Hope.html
"2025-07-17 07:47:25,566",DEBUG,muck by the slimy tentacle.
"2025-07-17 07:42:43,9",DEBUG,EXT. MASSASSI OUTPOST - JUNGLE TEMPLE
"2025-07-17 07:42:43,947",DEBUG,INT. MOS EISLEY SPACEPORT - DOCKING BAY 94]
"2025-07-17 07:42:46,493",DEBUG,"gate controls, and the Imperial guards. The officer is the"
"2025-07-17 07:42:47,303",DEBUG,INT. DEATH STAR - DOCKING BAY 2037
"2025-07-17 07:42:47,979",DEBUG,computer screen.
"2025-07-17 07:42:48,714",DEBUG,there will you?
"2025-07-17 07:42:49,852",DEBUG,"first the sight is horrifying. One-eyed, thousand-eyed, slimy,"
"2025-07-17 07:42:50,939",DEBUG,Suddenly the little robot jumps to life with a mass of frantic
"2025-07-17 07:42:51,706",DEBUG,Should I have?
"2025-07-17 07:42:53,377",DEBUG,Vader turns round and round in circles as his ship spins
"2025-07-17 07:34:53,654",DEBUG,EXT. SURFACE OF THE DEATH STAR
"2025-07-17 07:34:54,368",DEBUG,STAR WARS
"2025-07-17 07:34:54,830",DEBUG,"What the...? Aw, we've come out of"
"2025-07-17 07:34:55,585",DEBUG,"Lord Vader, I should have known."
"2025-07-17 07:34:56,487",DEBUG,"Luke follows the TIE fighter across his field of view, firing"
"2025-07-17 07:34:57,198",DEBUG,their faces are shrouded so only their glowing eyes can be
"2025-07-17 07:34:58,129",DEBUG,says something.
"2025-07-17 07:34:58,560",DEBUG,and thrashing of limbs. A membrane tentacle is wrapped around
"2025-07-17 07:34:59,100",DEBUG,is heard echoing throughout the canyon which sends the
"2025-07-17 07:35:00,479",DEBUG,Switch power to front deflector
"2025-07-17 07:47:32,481",DEBUG,The stars whip past behind the Imperial pilot as he adjusts
"2025-07-17 07:47:33,447",DEBUG,Alderaan has failed. I have placed
"2025-07-17 07:47:35,97",DEBUG,(he whispers)
"2025-07-17 07:47:35,979",DEBUG,Chewbacca leads the group into a giant dirt pit that is
"2025-07-17 07:47:36,182",DEBUG,Han is leaning back against the other wall. Garbage is
"2025-07-17 07:47:36,707",DEBUG,living? That's something else.
"2025-07-17 07:47:36,907",DEBUG,INT. MILLENNIUM FALCON - GUNPORTS - COCKPIT
"2025-07-17 07:47:37,545",DEBUG,INT. GOLD LEADER'S Y-WING - COCKPIT
"2025-07-17 07:47:38,441",DEBUG,It's too dangerous with all the
"2025-07-17 07:47:38,953",DEBUG,good pilot yourself. And he was a
"2025-07-17 07:50:20,706",DEBUG,stormtroopers are so precise.
"2025-07-17 07:50:21,516",DEBUG,hot shot. I thought you'd be here...
"2025-07-17 07:50:22,954",DEBUG,explosions are visible in the distance.
"2025-07-17 07:50:23,555",DEBUG,Luke's hand reaches for the control panel and presses the
"2025-07-17 07:50:25,64",DEBUG,You will...
"2025-07-17 07:50:25,857",DEBUG,"Han, my boy, there are times when"
"2025-07-17 07:50:26,763",DEBUG,still manages to radiate an air of time-worn comfort and
"2025-07-17 07:50:27,617",DEBUG,"Darth Vader's well-aimed laserfire proves to be unavoidable,"
"2025-07-17 07:50:28,41",DEBUG,LUKE
"2025-07-17 07:50:28,181",DEBUG,"head. Ben watches him from the corner, studying his movements."
"2025-07-17 07:41:25,649",DEBUG,over the droids.
"2025-07-17 07:41:26,606",DEBUG,"And I am See-Threepio, human-cyborg"
"2025-07-17 07:41:26,850",DEBUG,towards the Death Star surface. A thousand lights glow across
"2025-07-17 07:41:27,197",DEBUG,only deactivate you for a day or
"2025-07-17 07:41:28,78",DEBUG,The two TIE fighters fire a barrage of laserbeams at the
"2025-07-17 07:41:28,652",DEBUG,"they turn around to see Han Solo and the giant Wookiee,"
"2025-07-17 07:41:29,290",DEBUG,TROOPER
"2025-07-17 07:41:29,444",DEBUG,Aren't you a little short to be a
"2025-07-17 07:41:30,843",DEBUG,"filled with defiance, which slowly gives way to fear as a"
"2025-07-17 07:41:31,763",DEBUG,We've got to find out which cell
"2025-07-17 07:43:20,84",DEBUG,around the scrap heap. The narrow beam swings across rusty
"2025-07-17 07:43:20,434",DEBUG,chrome laser pistol from his belt and levels it at old Ben.
"2025-07-17 07:43:20,835",DEBUG,INT. GOLD LEADER'S Y-WING - COCKPIT
"2025-07-17 07:43:21,628",DEBUG,"Luke, saddened by the loss of Obi-Wan Kenobi, stares off"
"2025-07-17 07:43:22,308",DEBUG,INT. DEATH STAR - CELL ROW
"2025-07-17 07:43:22,656",DEBUG,size as the Rebel fighters approach. Complex patterns on the
"2025-07-17 07:43:23,127",DEBUG,know what he's talking about?
"2025-07-17 07:43:23,962",DEBUG,eyes.
"2025-07-17 07:43:24,859",DEBUG,stands behind Chewbacca.
"2025-07-17 07:43:25,731",DEBUG,have its memory flushed. That'll be
"2025-07-17 07:40:40,637",DEBUG,"him protectively, and Luke turns and looks up at her. She"
"2025-07-17 07:40:41,465",DEBUG,Luke moves toward Chewbacca with electronic cuffs.
"2025-07-17 07:40:42,423",DEBUG,I think he thought he was. Next time
"2025-07-17 07:40:43,193",DEBUG,INT. MILLENNIUM FALCON - COCKPIT
"2025-07-17 07:40:44,611",DEBUG,Stay in attack formation!
"2025-07-17 07:40:44,862",DEBUG,to translate. Leia continues to repeat the sentence fragment
"2025-07-17 07:40:46,417",DEBUG,The crewmen lower Artoo-Detoo into the craft. Now a part of
"2025-07-17 07:40:47,205",DEBUG,INT. IMPERIAL STARDESTROYER
"2025-07-17 07:40:47,701",DEBUG,LUKE
"2025-07-17 07:40:48,128",DEBUG,Wonderful girl! Either I'm going to
"2025-07-17 07:46:49,392",DEBUG,Get in there you big furry oaf! I
"2025-07-17 07:46:49,562",DEBUG,says something.
"2025-07-17 07:46:50,327",DEBUG,THREEPIO
"2025-07-17 07:46:51,774",DEBUG,of the farm boys. A robot repairs some equipment in the
"2025-07-17 07:46:52,279",DEBUG,Four Imperial stormtroopers mill about in front of the half-
"2025-07-17 07:46:53,62",DEBUG,The two X-wings peel off against a background of stars and
"2025-07-17 07:46:53,234",DEBUG,gorge and it wraps itself around an outcropping of pipes. He
"2025-07-17 07:46:53,427",DEBUG,to do that.
"2025-07-17 07:46:53,709",DEBUG,and not gotten involved.
"2025-07-17 07:46:54,360",DEBUG,"As Han is about to leave, Greedo, a slimy green-faced alien"
"2025-07-17 07:37:23,823",DEBUG,Grand Moff Tarkin watches the projected target screen with
"2025-07-17 07:37:24,323",DEBUG,miles.  He looks back in the direction of the now distant
"2025-07-17 07:37:24,478",DEBUG,"shake about. Asteroids begin to race toward them, battering"
"2025-07-17 07:37:25,412",DEBUG,(softly)
"2025-07-17 07:37:27,690",DEBUG,it. It's magnetically sealed!
"2025-07-17 07:37:27,850",DEBUG,it. It's magnetically sealed!
"2025-07-17 07:37:29,453",DEBUG,(interrupting)
"2025-07-17 07:37:30,327",DEBUG,Ben. Do you know what he's talking
"2025-07-17 07:37:30,498",DEBUG,Leave that to me. Send a distress
"2025-07-17 07:37:31,387",DEBUG,A large burst of Vader's laserfire engulfs Artoo. The arms
"2025-07-17 07:39:24,635",DEBUG,"Well, I'll be at the Academy next"
"2025-07-17 07:39:25,362",DEBUG,"Three Imperial TIE ships, Darth Vader in the center flanked"
"2025-07-17 07:39:26,231",DEBUG,I think he thought he was. Next time
"2025-07-17 07:39:26,373",DEBUG,you!
"2025-07-17 07:39:26,683",DEBUG,TROOPER
"2025-07-17 07:39:27,816",DEBUG,"first the sight is horrifying. One-eyed, thousand-eyed, slimy,"
"2025-07-17 07:39:28,277",DEBUG,"reverse! Chewie, lock in the auxiliary"
"2025-07-17 07:39:28,515",DEBUG,The young adventurer and his two mechanical servants follow
"2025-07-17 07:39:28,944",DEBUG,INT. DEATH STAR - DETENTION AREA - ELEVATOR TUBE
"2025-07-17 07:39:29,248",DEBUG,might follow old Obi-Wan on some
"2025-07-17 07:49:25,503",DEBUG,Luke's targeting device marks off the distance to the target.
"2025-07-17 07:49:26,324",DEBUG,Episode IV
"2025-07-17 07:49:27,258",DEBUG,by a giant Imperial Stardestroyer. Hundreds of deadly
"2025-07-17 07:49:27,770",DEBUG,Luke pushes his half-eaten plate of food aside and stands.
"2025-07-17 07:49:28,561",DEBUG,on a tarnished chrome water pipe. Luke has stars in his eyes.
"2025-07-17 07:49:29,282",DEBUG,"The aide immediately reaches for his pistol, but is blasted"
"2025-07-17 07:49:29,658",DEBUG,promise.
"2025-07-17 07:49:30,639",DEBUG,Luke looks down at the Death Star surface below.
"2025-07-17 07:49:30,747",DEBUG,The bartender panics.
"2025-07-17 07:49:31,185",DEBUG,BEN
"2025-07-17 07:45:16,828",DEBUG,"smiling, fires the laser cannon at it, scoring a spectacular"
"2025-07-17 07:45:17,853",DEBUG,INT. DEATH STAR - CONTROL ROOM
"2025-07-17 07:45:18,445",DEBUG,The interior of the kitchen is a worm glow as Aunt Beru
"2025-07-17 07:45:18,775",DEBUG,EXT. SPACE AROUND THE DEATH STAR
"2025-07-17 07:45:19,324",DEBUG,A second trooper picks a small bit of metal out of the sand
"2025-07-17 07:45:20,115",DEBUG,LUKE
"2025-07-17 07:45:21,401",DEBUG,"shouldered nephew, Luke Skywalker. One of the vile little"
"2025-07-17 07:45:22,382",DEBUG,everything is quiet for a few moments. A great howling moan
"2025-07-17 07:45:22,919",DEBUG,control panel.
"2025-07-17 07:45:23,150",DEBUG,THREEPIO
"2025-07-17 07:49:42,749",DEBUG,THREEPIO
"2025-07-17 07:49:43,343",DEBUG,human proportions. He has a gleaming bronze-like metallic
"2025-07-17 07:49:45,941",DEBUG,number?
"2025-07-17 07:49:47,584",DEBUG,"of this station. In a way, you have"
"2025-07-17 07:49:48,242",DEBUG,"from Luke's weapons, creating a huge fireball explosion on"
"2025-07-17 07:49:48,377",DEBUG,spots the tailing TIE fighter.
"2025-07-17 07:49:49,3",DEBUG,around in a circle. Solo runs in toward Luke and they embrace
"2025-07-17 07:49:49,800",DEBUG,Red Leader looks at his computer target readout screen. He
"2025-07-17 07:49:50,23",DEBUG,(to Luke)
"2025-07-17 07:49:50,738",DEBUG,"box, which creates a low hum, and Threepio, letting out a"
"2025-07-17 07:37:06,486",DEBUG,Luke's X-wing races toward the Death Star. Laserbolts streak
"2025-07-17 07:37:07,323",DEBUG,helmet that looks like it's been through many battles. He
"2025-07-17 07:37:08,256",DEBUG,"robots enter the room quickly followed by Luke, also dressed"
"2025-07-17 07:37:08,685",DEBUG,I'm talking about the big Corellian
"2025-07-17 07:37:09,17",DEBUG,this droid safely delivered to him
"2025-07-17 07:37:09,715",DEBUG,"about, but I'm sure it must be your"
"2025-07-17 07:37:11,618",DEBUG,shrieking laugh.
"2025-07-17 07:37:12,333",DEBUG,Luke! We're going to have company!
"2025-07-17 07:37:13,24",DEBUG,RED ELEVEN
"2025-07-17 07:37:13,996",DEBUG,The group rises and begins to leave.
"2025-07-17 07:54:00,557",DEBUG,disconcerted and pretends not to hear the conversation between
"2025-07-17 07:54:02,340",DEBUG,"the pirateship. Leia moves towards Han, touches his arm and"
"2025-07-17 07:54:02,769",DEBUG,you think a princess and a guy like
"2025-07-17 07:54:02,911",DEBUG,fighters.
"2025-07-17 07:54:03,745",DEBUG,The Tusken Raider approaches two large Banthas standing tied
"2025-07-17 07:54:03,988",DEBUG,just sitting there! Probably a
"2025-07-17 07:54:05,141",DEBUG,Luke tosses Artoo's restraining bolt on the workbench and
"2025-07-17 07:54:05,492",DEBUG,The horizon twists as Wedge begins to pull out.
"2025-07-17 07:54:06,365",DEBUG,READ LEADER
"2025-07-17 07:54:06,746",DEBUG,HAN
"2025-07-17 07:49:18,553",DEBUG,Vader turns to the Commander.
"2025-07-17 07:49:19,94",DEBUG,INT. MASSASSI - MAIN HANGAR DECK
"2025-07-17 07:49:19,762",DEBUG,"outland regions, enters. He is followed by his powerful ally,"
"2025-07-17 07:49:20,544",DEBUG,the Empire?
"2025-07-17 07:49:21,512",DEBUG,"on, get to it!"
"2025-07-17 07:49:22,206",DEBUG,"through the shaking, bouncing passageway. Both robots are"
"2025-07-17 07:49:22,847",DEBUG,What're you lookin' at? I know what
"2025-07-17 07:49:23,629",DEBUG,underside dock of the giant Imperial starship.
"2025-07-17 07:49:24,681",DEBUG,"Red Leader lowers his visor and adjusts his gun sights,"
"2025-07-17 07:49:24,851",DEBUG,"Red Leader, this is Base One. Keep"
"2025-07-17 07:44:38,744",DEBUG,EXT. SPACE - PLANET TATOOINE
"2025-07-17 07:44:39,544",DEBUG,"wing fighters move in toward the Imperial base, as the Death"
"2025-07-17 07:44:40,335",DEBUG,Chewbacca and Princess Leia search the heavens for attacking
"2025-07-17 07:44:40,509",DEBUG,small disk on the side of Artoo and then put him under a
"2025-07-17 07:44:41,427",DEBUG,What's that flashing?
"2025-07-17 07:44:41,795",DEBUG,Dodonna stands before a large electronic wall display. Leia
"2025-07-17 07:44:43,432",DEBUG,Who's the more foolish... the fool
"2025-07-17 07:44:44,366",DEBUG,BEN
"2025-07-17 07:44:45,41",DEBUG,stories to tell...
"2025-07-17 07:44:45,934",DEBUG,They stop and snap to attention.
"2025-07-17 07:36:20,428",DEBUG,BEN
"2025-07-17 07:36:20,942",DEBUG,"suddenly, out of nowhere, a powerful magnetic ray shoots out"
"2025-07-17 07:36:21,593",DEBUG,buffeted by Imperial flak.
"2025-07-17 07:36:22,103",DEBUG,"Organa, a member of the Alderaan Senate. The fear in her"
"2025-07-17 07:36:22,346",DEBUG,simpletons.
"2025-07-17 07:36:23,13",DEBUG,and several other senators are to one side of the giant
"2025-07-17 07:36:24,35",DEBUG,"If you don't mind my saying so, sir,"
"2025-07-17 07:36:24,332",DEBUG,"Luke, at that speed will you be able"
"2025-07-17 07:36:25,770",DEBUG,INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL
"2025-07-17 07:36:25,882",DEBUG,"But who's going to fly it, kid! You?"
"2025-07-17 07:39:09,934",DEBUG,"suspiciously. Sensing something, he stands up and sniffs the"
"2025-07-17 07:39:10,527",DEBUG,The princess? She's here?
"2025-07-17 07:39:11,70",DEBUG,The victorious Millennium Falcon moves off majestically
"2025-07-17 07:39:11,769",DEBUG,LEIA
"2025-07-17 07:39:12,36",DEBUG,You can go about your business.
"2025-07-17 07:39:12,821",DEBUG,Uncle Owen...
"2025-07-17 07:39:13,912",DEBUG,HAN
"2025-07-17 07:39:14,896",DEBUG,Luke and Leia crouch together in an alcove for protection as
"2025-07-17 07:39:15,617",DEBUG,"the room. Commander Tagge, a young, slimy-looking general,"
"2025-07-17 07:39:16,349",DEBUG,it tightly. She's terrified and suddenly groans as she feels
"2025-07-17 07:39:57,900",DEBUG,as they turn their backs to him. Ben gestures with his hand
"2025-07-17 07:39:58,721",DEBUG,THREEPIO
"2025-07-17 07:39:59,215",DEBUG,"on, Master Luke. There's no sense in"
"2025-07-17 07:40:00,115",DEBUG,BARTENDER
"2025-07-17 07:40:02,884",DEBUG,should be able to penetrate the outer
"2025-07-17 07:40:03,191",DEBUG,Come on!
"2025-07-17 07:40:03,330",DEBUG,Admiral Motti enters the quiet control room and bows before
"2025-07-17 07:40:04,409",DEBUG,stolen plans to the princess. She
"2025-07-17 07:40:05,377",DEBUG,buried lifepod that brought Artoo and Threepio to Tatooine.
"2025-07-17 07:40:06,337",DEBUG,"a moment. Convinced he is alone, he continues on his way."
"2025-07-17 07:54:19,411",DEBUG,enter the old grey security station. Guards and laser gates
"2025-07-17 07:54:20,370",DEBUG,"to get us in trouble. It's all right,"
"2025-07-17 07:54:21,857",DEBUG,"stubby claw hand, causing one of the holographic creatures"
"2025-07-17 07:54:22,616",DEBUG,You sent Greedo to blast me.
"2025-07-17 07:54:22,949",DEBUG,DODONNA
"2025-07-17 07:54:23,176",DEBUG,Luke watches the distant Tusken Raider through his
"2025-07-17 07:54:23,738",DEBUG,it.
"2025-07-17 07:54:24,254",DEBUG,scrape several connectors on the robot's head with a chrome
"2025-07-17 07:54:26,106",DEBUG,"the blow with his laser rifle, which is smashed to pieces."
"2025-07-17 07:54:26,286",DEBUG,WOMAN
"2025-07-17 07:36:13,752",DEBUG,crashing a barrier. Stars become streaks as the pirateship
"2025-07-17 07:36:14,646",DEBUG,BEN
"2025-07-17 07:36:15,225",DEBUG,stare out at the vast blackness of space.
"2025-07-17 07:36:16,74",DEBUG,"and right, beeping a response."
"2025-07-17 07:36:17,732",DEBUG,He made a fair move. Screaming about
"2025-07-17 07:36:17,992",DEBUG,Vader watches the escape but issues a command to his wingmen.
"2025-07-17 07:36:18,912",DEBUG,"Another TIE fighter moves in on the pirateship and Luke,"
"2025-07-17 07:36:19,130",DEBUG,THREEPIO
"2025-07-17 07:36:19,526",DEBUG,INT. LUKE'S X-WING FIGHTER - COCKPIT
"2025-07-17 07:36:20,299",DEBUG,perfectly all right now. We're fine.
"2025-07-17 07:52:13,78",DEBUG,are heard moving around the outside hull of the ship.
"2025-07-17 07:52:13,654",DEBUG,Jabba the Hut and a half-dozen grisly alien pirates and purple
"2025-07-17 07:52:13,962",DEBUG,them up or brushing some dust from a dented metallic elbow.
"2025-07-17 07:52:14,257",DEBUG,The walls are only feet apart. Leia and Han are braced against
"2025-07-17 07:52:14,362",DEBUG,and gives it to the first trooper.
"2025-07-17 07:52:15,91",DEBUG,Red Ten panics.
"2025-07-17 07:52:15,913",DEBUG,Not if I can help it. Chewie...jam
"2025-07-17 07:52:17,343",DEBUG,trashmasher rumbles on. The situation doesn't look too good.
"2025-07-17 07:52:18,258",DEBUG,of his eye. Laserbolts continue to batter the Rebel craft.
"2025-07-17 07:47:03,618",DEBUG,EXT. TATOOINE - LARS HOMESTEAD
"2025-07-17 07:47:03,812",DEBUG,murky depths. Chewbacca lets out a terrified howl and begins
"2025-07-17 07:47:04,409",DEBUG,"No, you're not. What kind of talk is"
"2025-07-17 07:47:05,694",DEBUG,HAN
"2025-07-17 07:47:06,574",DEBUG,That's how we came to be in your
"2025-07-17 07:47:07,77",DEBUG,(fatherly-smooth)
"2025-07-17 07:47:07,377",DEBUG,"There's no one on board, sir."
"2025-07-17 07:47:08,162",DEBUG,Luke's ship charges down the trench.
"2025-07-17 07:47:08,570",DEBUG,explosion and the door of the control tower flies across the
"2025-07-17 07:47:09,421",DEBUG,"howl, the giant Wookiee flattens the officer with one blow."
"2025-07-17 07:50:10,100",DEBUG,head from side to side and makes beeping sounds.
"2025-07-17 07:50:10,505",DEBUG,such a long way from here.
"2025-07-17 07:50:11,381",DEBUG,"descent. Gold Five, a veteran of countless campaigns, spins"
"2025-07-17 07:50:11,803",DEBUG,Don't insult us. You just watch
"2025-07-17 07:50:12,683",DEBUG,HAN
"2025-07-17 07:50:12,788",DEBUG,exception. Where would I be if every
"2025-07-17 07:50:13,314",DEBUG,season... after that who knows. I
"2025-07-17 07:50:13,881",DEBUG,The fried little Artoo-Detoo is lifted off the back of the
"2025-07-17 07:50:14,549",DEBUG,of his wings slightly scorched.
"2025-07-17 07:50:14,826",DEBUG,Bring her back! Play back the entire
"2025-07-17 07:48:31,122",DEBUG,"While Chewbacca manipulates the controls, Leia turns, looking"
"2025-07-17 07:48:31,346",DEBUG,Biggs panics when he discovers a TIE ship on his tail. The
"2025-07-17 07:48:32,261",DEBUG,Ben is crouching in the sand studying the tracks.
"2025-07-17 07:48:33,59",DEBUG,his eyes and starts to mumble Ben's training to himself.
